unit	fresh	category	path	evidence	verdict
B26-001	1	cross	baseline:identity	registry/protocol: R51 17ad376b USER_RUNTIME baseline remains protected; open HUD/rank defects stay runtime-visible	PASS
B26-002	1	adversarial	baseline:world-stereo	registry/protocol: R51 17ad376b USER_RUNTIME baseline remains protected; open HUD/rank defects stay runtime-visible	PASS
B26-003	1	path	baseline:frame-stability	registry/protocol: R51 17ad376b USER_RUNTIME baseline remains protected; open HUD/rank defects stay runtime-visible	PASS
B26-004	1	regression	baseline:white-hud	registry/protocol: R51 17ad376b USER_RUNTIME baseline remains protected; open HUD/rank defects stay runtime-visible	PASS
B26-005	1	performance	baseline:rank-anchor	registry/protocol: R51 17ad376b USER_RUNTIME baseline remains protected; open HUD/rank defects stay runtime-visible	PASS
B26-006	1	cross	semantic:ScreenOverlay2D	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
B26-007	1	adversarial	semantic:ScreenHud	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
B26-008	1	path	semantic:ForceZeroDisparity	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
B26-009	1	regression	semantic:CorroboratesHud	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
B26-010	1	performance	semantic:CorroboratesScreenOverlay2D	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
B26-011	1	cross	semantic:SpriteNodeSemanticTag	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
B26-012	1	adversarial	semantic:RegisterSpriteNodeScope	R51 render_semantics has explicit screen/queue semantic machinery; current 539fecf header lacks it while retaining world scopes	BASELINE_REGRESSION_RISK
