unit	fresh	category	path	evidence	verdict
B25-001	1	cross	baseline:identity	R51 baseline source/package/profile remains authoritative	PASS
B25-002	1	adversarial	baseline:world-stereo	road/background/vehicle 3D protected independently of HEAD	PASS
B25-003	1	path	baseline:frame-stability	R51 pacing evidence protected; static cannot supersede	PASS
B25-004	1	regression	baseline:white-hud	white HUD diplopia remains open, not a current-HEAD success	PASS
B25-005	1	performance	baseline:rank-anchor	vehicle rank anchoring remains open	PASS
B25-006	1	cross	compare:topology	R51 and HEAD diverged; merge-base 4ff3a3f confirms non-linear ancestry	PASS
B25-007	1	adversarial	compare:runtime-files	HEAD-side 14 commits change only workflow/docs/test-policy vs merge base	PASS
B25-008	1	path	semantic:enum-overlay	R51 ScreenOverlay2D absent on HEAD	BASELINE_REGRESSION
B25-009	1	regression	semantic:enum-hud	R51 ScreenHud absent on HEAD	BASELINE_REGRESSION
B25-010	1	performance	semantic:queue-tag	R51 SpriteNodeSemanticTag absent on HEAD	BASELINE_REGRESSION
B25-011	1	cross	semantic:queue-capacity	R51 fixed 0x230 tag capacity absent on HEAD	BASELINE_REGRESSION
B25-012	1	adversarial	semantic:register	R51 RegisterSpriteNodeScope absent on HEAD	BASELINE_REGRESSION
B25-013	1	path	semantic:consume	R51 ConsumeSpriteNodeScope absent on HEAD	BASELINE_REGRESSION
B25-014	1	regression	semantic:queue-begin	R51 BeginSpriteQueueRender absent on HEAD	BASELINE_REGRESSION
B25-015	1	performance	semantic:queue-select	R51 SelectSpriteQueueNode absent on HEAD	BASELINE_REGRESSION
B25-016	1	cross	semantic:queue-end	R51 EndSpriteQueueRender absent on HEAD	BASELINE_REGRESSION
B25-017	1	adversarial	semantic:zero-disparity	R51 overlay zero-disparity ownership absent on HEAD	BASELINE_REGRESSION
B25-018	1	path	semantic:hud-corroboration	R51 CorroboratesHud absent on HEAD	BASELINE_REGRESSION
B25-019	1	regression	semantic:overlay-corroboration	R51 CorroboratesScreenOverlay2D absent on HEAD	BASELINE_REGRESSION
B25-020	1	performance	semantic:world	WorldBillboard/WorldParticle remain present on HEAD	PASS
B25-021	1	cross	r30:include	R51 explicit render_semantics include absent on HEAD	PASS
B25-022	1	adversarial	r30:counter-hud	R51 semantic HUD acceptance counters absent on HEAD	PASS
B25-023	1	path	r30:counter-overlay	R51 overlay acceptance counters absent on HEAD	PASS
B25-024	1	regression	r30:safe-base	safe stereo eligibility gates unchanged in inspected prefix	PASS
B25-025	1	performance	r30:shadow-design	CPU shadow design retained across R51/HEAD inspected prefix	PASS
B25-026	1	cross	r30:scratch	thread-local scratch lease retained	PASS
B25-027	1	adversarial	r30:draw-amplification	safe two-eye accounting remains explicit	PASS
