unit_id	source	target	evidence	regression	disposition
B9-001	B8-001	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-002	B8-002	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-003	B8-003	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-004	B8-004	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-005	B8-005	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-006	B8-006	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-007	B8-007	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-008	B8-008	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-009	B8-009	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-010	B8-010	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-011	B8-011	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-012	B8-012	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-013	B8-013	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-014	B8-014	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-015	B8-015	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-016	B8-016	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-017	B8-017	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-018	B8-018	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-019	B8-019	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-020	B8-020	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-021	B8-021	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-022	B8-022	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-023	B8-023	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-024	B8-024	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-025	B8-025	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-026	B8-026	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-027	B8-027	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-028	B8-028	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
B9-029	B8-029	3de2e34c	identity-valid rendering/stereo path unchanged	VR-STARTUP-WHITE-001	CARRIED
