unit	fresh	path	lens	evidence
B19-001	1	hooks_graphics:SkyGlowAllowed	visual	true-stereo gate prevents mono glow ownership
B19-002	1	hooks_graphics:SkyGlowAllowed	stereo	VREnabled+VRStereo boundary is explicit
B19-003	1	hooks_graphics:SkyGlowAllowed	perf	disabled mono chain avoids redundant VR work
B19-004	1	hooks_graphics:SkyGlowAllowed	regression	config transition is visual-risk boundary
B19-005	1	hooks_graphics:SkyGlowAllowed	falsify	cached entry is re-gated at worker paths
B19-006	1	hooks_graphics:ShaderWritesExposure	visual	emitted combiner list bounds alpha exposure ownership
B19-007	1	hooks_graphics:ShaderWritesExposure	stereo	material alpha classification is eye-independent
B19-008	1	hooks_graphics:ShaderWritesExposure	perf	bounded <=9-entry scan is constant cost
B19-009	1	hooks_graphics:ShaderWritesExposure	regression	preset/no-op/overflow paths remain distinguishable
B19-010	1	hooks_graphics:ShaderWritesExposure	falsify	missing exposure op returns false rather than guessing
B19-011	1	hooks_graphics:Exposure_dest	visual	exposure is clamped 1..255 before material reference
B19-012	1	hooks_graphics:Exposure_dest	stereo	shared scalar cannot introduce per-eye divergence itself
B19-013	1	hooks_graphics:Exposure_dest	perf	constant-time scalar update only
B19-014	1	hooks_graphics:Exposure_dest	regression	negative conversion is explicitly bounded
B19-015	1	hooks_graphics:Exposure_dest	falsify	0 and >255 values collapse to safe bounds
B19-016	1	hooks_graphics:PsSetPixelShader_dest	visual	ALPHAREF changes only when emitted shader writes exposure
B19-017	1	hooks_graphics:PsSetPixelShader_dest	stereo	preset shaders bypass override consistently
B19-018	1	hooks_graphics:PsSetPixelShader_dest	perf	one short combiner scan per eligible shader bind
B19-019	1	hooks_graphics:PsSetPixelShader_dest	regression	HdrState zero preserves game reference
B19-020	1	hooks_graphics:PsSetPixelShader_dest	falsify	device-null path skips state write
B19-021	1	hooks_graphics:MakeReduceBuff_dest	visual	mono backbuffer reduction blocked in true stereo
B19-022	1	hooks_graphics:MakeReduceBuff_dest	stereo	left-eye leakage into both eyes is explicitly prevented
B19-023	1	hooks_graphics:MakeReduceBuff_dest	perf	two StretchRect calls occur only two-step eligible path
B19-024	1	hooks_graphics:MakeReduceBuff_dest	regression	RenderCfgGlow and GlowAmount preserve stock conditions
B19-025	1	hooks_graphics:MakeReduceBuff_dest	falsify	missing device/step1/surface acquisition fails closed
B19-026	1	hooks_graphics:GlowRelease_dest	visual	intermediate glow texture is released before reset
B19-027	1	hooks_graphics:GlowRelease_dest	stereo	shared mono intermediate cannot survive lifecycle release
B19-028	1	hooks_graphics:GlowRelease_dest	perf	release is O(1) and avoids stale allocation
B19-029	1	hooks_graphics:GlowRelease_dest	regression	pointer nulled before stock release continuation
