unit	fresh	category	path	evidence	verdict
B24-001	1	baseline	regression:userRuntimeVerifiedBaseline	source=17ad376b USER_RUNTIME_PARTIAL_VERIFIED	PASS
B24-002	1	baseline	regression:world-stereo	road/background/vehicle 3D protected	PASS
B24-003	1	baseline	regression:frame-stability	improved pacing protected	PASS
B24-004	1	baseline	regression:white-hud	R51 white HUD diplopia remains open	READY_FOR_C
B24-005	1	baseline	regression:rank-anchor	R51 rank anchor remains open	READY_FOR_C
B24-006	1	cross	baseline->current	current HEAD=539fecf differs from runtime source	BASELINE_RISK
B24-007	1	adversarial	baseline->current	BUILD/static cannot supersede runtime baseline	PASS
B24-008	1	path	protocol:baseline-gate	candidate BASELINE_DELTA required	PASS
B24-009	1	regression	startup-white	USER_RUNTIME_VERIFIED_PASS baseline retained	PASS
B24-010	1	path	settings:TargetRefreshRateHz	default remains 0	PASS
B24-011	1	path	settings:FrameCadenceTargetHz	default remains 0	PASS
B24-012	1	performance	settings:FrameCadenceMode	PhaseLock default unchanged	PASS
B24-013	1	cross	settings:DirectGpuOnly	game/host transport policy retained	PASS
B24-014	1	adversarial	settings:refresh	no fixed refresh override found	PASS
B24-015	1	regression	settings:pacing	R51 pacing still NEED_HMD_TEST on moving HEAD	NEED_HMD_TEST
B24-016	1	path	render_semantics:enum	current HEAD lacks ScreenOverlay2D	BASELINE_REGRESSION
B24-017	1	path	render_semantics:enum	current HEAD lacks ScreenHud	BASELINE_REGRESSION
B24-018	1	path	render_semantics:queue	current HEAD lacks SpriteNodeSemanticTag	BASELINE_REGRESSION
B24-019	1	path	render_semantics:queue	current HEAD lacks queue-node semantic registry	BASELINE_REGRESSION
B24-020	1	path	render_semantics:queue	current HEAD lacks ScreenOverlay2D fallback	BASELINE_REGRESSION
B24-021	1	cross	render_semantics->R30	R51 queue ownership cannot exist on current header	BASELINE_REGRESSION
B24-022	1	adversarial	render_semantics:world	WorldBillboard enum still exists	PASS
B24-023	1	regression	render_semantics:scope	broad world->HUD protection absent from current semantic header	BASELINE_REGRESSION
B24-024	1	path	render_semantics:ForceZeroDisparity	current only SkyGlow zero-disparity	BASELINE_RISK
B24-025	1	path	render_semantics:CorroboratesHud	function absent on current HEAD	BASELINE_REGRESSION
B24-026	1	path	render_semantics:CorroboratesScreenOverlay2D	function absent on current HEAD	BASELINE_REGRESSION
B24-027	1	cross	render_semantics:queue-RVA	R51 queue boundary logic absent current HEAD	BASELINE_REGRESSION
B24-028	1	adversarial	render_semantics:capacity	R51 0x230 node capacity absent current HEAD	BASELINE_REGRESSION
B24-029	1	regression	VR-R51-WHITE-HUD-DIPLOPIA-001	current tree lacks required semantic vocabulary	READY_FOR_C
B24-030	1	regression	VR-R51-VEHICLE-RANK-ANCHOR-001	WorldBillboard exists but exact queue tagging absent	READY_FOR_C
B24-031	1	path	r26:include	current HEAD lacks render_semantics include	BASELINE_REGRESSION
B24-032	1	path	r26:R28RunWithVerifiedWorldEpoch	current function always returns E_NOTIMPL	BASELINE_REGRESSION
B24-033	1	cross	r26:shader-epoch	R51 verified world continuation missing	BASELINE_REGRESSION
B24-034	1	adversarial	r26:changed-shader	current rejects all changed shader epochs	BASELINE_REGRESSION
B24-035	1	regression	world-stereo-preserve	current path contradicts R51 proven continuation	READY_FOR_C
B24-036	1	path	r26:R28CanRebindVerifiedWorld	strict WVP/projection proof still present	PASS
B24-037	1	cross	r26:pose-proof	generation/pose equality retained	PASS
B24-038	1	adversarial	r26:constant-proof	c64..c67 mismatch still fail-closed	PASS
B24-039	1	adversarial	r26:projection-proof	projection mismatch still fail-closed	PASS
B24-040	1	performance	r26:shader-epoch	current removed live rebind execution but regressed world coverage	BASELINE_REGRESSION
B24-041	1	path	r26:semantic-guard	R51 ScreenOverlay2D exclusion missing	BASELINE_REGRESSION
B24-042	1	path	r26:semantic-guard	R51 ScreenHud exclusion missing	BASELINE_REGRESSION
B24-043	1	cross	r26:WorldBillboard	R51 allowed exact billboard through strict proof	BASELINE_REGRESSION
B24-044	1	adversarial	r26:unknown-world	current remains fail-closed for unknown WVP	PASS
B24-045	1	regression	world-ownership	C must preserve R51 world continuation without blanket HUD	READY_FOR_C
B24-046	1	path	r30:HudScale	0.55 remains configured	PASS
B24-047	1	path	r30:HudContainScale	contain mapping present current tree	PASS
B24-048	1	cross	r30:eye-aspect	recommended eye size drives aspect when available	PASS
