unit	fresh	path	objective	category	cross	falsification	outside_delta	evidence	verdict	regression_key
B17-001	1	src/vr/hud_semantics.hpp@0x05B43A	0x05B43A WORLD_HEART ownership	visual	0	0	1	Exact reverse-engineered anchor 0x05B43A (HeartDisp_car_heart pulse angle) is declared WORLD_HEART/WorldBillboard; verify this exact call-site semantic remains world-attached true-stereo rather than inheriting generic draw-state heuristics.	PASS	
B17-002	1	src/vr/hud_semantics.hpp@0x05B43A	0x05B43A WORLD_HEART cross-trace	visual	1	0	1	Trace exact anchor 0x05B43A (WORLD_HEART) from UI-scaling provenance through ClassifyCaller ownership into world billboard stereo policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-003	1	src/vr/hud_semantics.hpp@0x05B43A	0x05B43A WORLD_HEART boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x05B43A: nearby mixed HUD/world ranges must not cause this WORLD_HEART site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-004	1	src/vr/hud_semantics.hpp@0x081A86	0x081A86 HUD_FRUIT ownership	visual	0	0	1	Exact reverse-engineered anchor 0x081A86 (C2C fruit scaling disable) is declared HUD_FRUIT/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-005	1	src/vr/hud_semantics.hpp@0x081A86	0x081A86 HUD_FRUIT cross-trace	visual	1	0	1	Trace exact anchor 0x081A86 (HUD_FRUIT) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-006	1	src/vr/hud_semantics.hpp@0x081A86	0x081A86 HUD_FRUIT boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x081A86: nearby mixed HUD/world ranges must not cause this HUD_FRUIT site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-007	1	src/vr/hud_semantics.hpp@0x081A8B	0x081A8B HUD_FRUIT ownership	visual	0	0	1	Exact reverse-engineered anchor 0x081A8B (C2C fruit scaling enable) is declared HUD_FRUIT/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-008	1	src/vr/hud_semantics.hpp@0x081A8B	0x081A8B HUD_FRUIT cross-trace	visual	1	0	1	Trace exact anchor 0x081A8B (HUD_FRUIT) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-009	1	src/vr/hud_semantics.hpp@0x081A8B	0x081A8B HUD_FRUIT boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x081A8B: nearby mixed HUD/world ranges must not cause this HUD_FRUIT site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-010	1	src/vr/hud_semantics.hpp@0x081B76	0x081B76 HUD_HEART_TOTAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x081B76 (C2C heart scaling disable) is declared HUD_HEART_TOTAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
