unit	kind	source	target	evidence	result	case
A14-001	STATE	NEW	RuntimeEligibility::HostFresh	atomic acquire/release authority; no independent freshness clock	PASS	VR-STARTUP-WHITE-001
A14-002	STATE	NEW	RuntimeEligibility::HostRenderable	separate renderability latch participates in all reopen paths	PASS	VR-STARTUP-WHITE-001
A14-003	STATE	NEW	RuntimeEligibility::StereoAllowed	baseline proof remains independent from host freshness	PASS	VR-STARTUP-WHITE-001
A14-004	STATE	NEW	RuntimeEligibility::RecoveryPending	initial true makes startup fail-closed	PASS	VR-STARTUP-WHITE-001
A14-005	STATE	NEW	RuntimeEligibility::RecoveryPoseWarmup	warmup cannot itself authorize stereo	PASS	VR-STARTUP-WHITE-001
A14-006	STATE	NEW	RuntimeEligibility::ExternalSafetyBlock	compat/reset safety has independent close authority	PASS	VR-STARTUP-WHITE-001
A14-007	STATE	NEW	RuntimeEligibility::SafetyOverlayReady	final overlay readiness is explicit gate	PASS	VR-STARTUP-WHITE-001
A14-008	FALSIFY	NEW	SetExternalSafetyBlock(true)	forces StereoAllowed false + RecoveryPending true + warmup false	PASS	VR-STARTUP-WHITE-001
A14-009	FALSIFY	NEW	SetExternalSafetyBlock(false)	unblocking alone cannot reopen StereoAllowed	PASS	VR-STARTUP-WHITE-001
A14-010	FALSIFY	NEW	FailClosed	clears freshness/renderability/stereo and rearms recovery	PASS	VR-STARTUP-WHITE-001
A14-011	FALSIFY	NEW	MarkSafetyOverlayUnavailable	clears overlay then fail-closes all dependent state	PASS	VR-STARTUP-WHITE-001
A14-012	FALSIFY	NEW	MarkSafetyOverlayInstalled	fail-closes before publishing overlay ready; no stale baseline inheritance	PASS	VR-STARTUP-WHITE-001
A14-013	TRACE	NEW	ObserveFreshHost->BaselineVerified	fresh host alone cannot reopen; baseline proof still required	PASS	VR-STARTUP-WHITE-001
A14-014	TRACE	NEW	ObserveSoftHostSuspend->MayInjectStereo	soft suspend preserves verified source but host owns layer submission	PASS	VR-STARTUP-WHITE-001
A14-015	FALSIFY	NEW	ArmRecoveryPoseWarmup/no-overlay	returns without arming when overlay unavailable	PASS	VR-STARTUP-WHITE-001
A14-016	FALSIFY	NEW	ArmRecoveryPoseWarmup/stale-host	returns without arming when freshness false	PASS	VR-STARTUP-WHITE-001
A14-017	FALSIFY	NEW	ArmRecoveryPoseWarmup/safety-block	returns without arming under external safety block	PASS	VR-STARTUP-WHITE-001
A14-018	FALSIFY	NEW	ArmRecoveryPoseWarmup/no-recovery	cannot arm outside pending recovery	PASS	VR-STARTUP-WHITE-001
A14-019	TRACE	NEW	PoseWarmupAllowed	requires pending recovery and explicitly requires StereoAllowed false	PASS	VR-STARTUP-WHITE-001
A14-020	FALSIFY	NEW	BaselineVerified/no-overlay	cannot publish StereoAllowed before final overlay	PASS	VR-STARTUP-WHITE-001
A14-021	FALSIFY	NEW	BaselineVerified/stale-host	cannot publish StereoAllowed from stale host state	PASS	VR-STARTUP-WHITE-001
A14-022	FALSIFY	NEW	BaselineVerified/nonrenderable	cannot publish StereoAllowed when host nonrenderable	PASS	VR-STARTUP-WHITE-001
A14-023	FALSIFY	NEW	BaselineVerified/safety-block	cannot override compatibility/reset safety closure	PASS	VR-STARTUP-WHITE-001
A14-024	TRACE	NEW	BaselineVerified/order	warmup false then recovery false then stereo true via release stores	PASS	VR-STARTUP-WHITE-001
A14-025	TRACE	NEW	MayInjectStereo	all six authorities are acquire-loaded and fail closed on any negative	PASS	VR-STARTUP-WHITE-001
A14-026	REGRESSION	NEW	runtime_eligibility.hpp	startup/stereo eligibility is regression-sensitive even though registry wildcard is src/vr/**	EVIDENCE_AUGMENT	VR-STARTUP-WHITE-001
